study_qtl	study	qtl_group	type	condition_label	tissue_ontology_term	tissue_ontology_text	tissue_label
Alasoo_2018_macrophage_naive	Alasoo_2018	macrophage_naive	RNA-seq	naive	CL_0000235	macrophage	macrophage
Alasoo_2018_macrophage_IFNg	Alasoo_2018	macrophage_IFNg	RNA-seq	IFNg_18h	CL_0000235	macrophage	macrophage
Alasoo_2018_macrophage_Salmonella	Alasoo_2018	macrophage_Salmonella	RNA-seq	Salmonella_5h	CL_0000235	macrophage	macrophage
Alasoo_2018_macrophage_IFNg+Salmonella	Alasoo_2018	macrophage_IFNg+Salmonella	RNA-seq	IFNg_18h+Salmonella_5h	CL_0000235	macrophage	macrophage
BLUEPRINT_monocyte	BLUEPRINT	monocyte	RNA-seq	naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
BLUEPRINT_neutrophil	BLUEPRINT	neutrophil	RNA-seq	naive	CL_0000775	neutrophil	neutrophil
BLUEPRINT_T-cell	BLUEPRINT	T-cell	RNA-seq	naive	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell
BrainSeq_brain	BrainSeq	brain	RNA-seq	naive	UBERON_0009834	dorsolateral prefrontal cortex	DLPFC
CEDAR_T-cell_CD8	CEDAR	T-cell_CD8	microarray	naive	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell
CEDAR_T-cell_CD4	CEDAR	T-cell_CD4	microarray	naive	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell
CEDAR_transverse_colon	CEDAR	transverse_colon	microarray	naive	UBERON_0001157	transverse colon	transverse colon
CEDAR_monocyte_CD14	CEDAR	monocyte_CD14	microarray	naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
CEDAR_neutrophil_CD15	CEDAR	neutrophil_CD15	microarray	naive	CL_0000775	neutrophil	neutrophil
CEDAR_platelet	CEDAR	platelet	microarray	naive	CL_0000233	platelet	platelet
CEDAR_rectum	CEDAR	rectum	microarray	naive	UBERON_0001052	rectum	rectum
CEDAR_B-cell_CD19	CEDAR	B-cell_CD19	microarray	naive	CL_0000236	B cell	B cell
CEDAR_ileum	CEDAR	ileum	microarray	naive	UBERON_0002116	ileum	ileum
Fairfax_2012_B-cell_CD19	Fairfax_2012	B-cell_CD19	microarray	naive	CL_0000236	B cell	B cell
Fairfax_2014_monocyte_naive	Fairfax_2014	monocyte_naive	microarray	naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Fairfax_2014_monocyte_IFN24	Fairfax_2014	monocyte_IFN24	microarray	IFNg_24h	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Fairfax_2014_monocyte_LPS2	Fairfax_2014	monocyte_LPS2	microarray	LPS_2h	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Fairfax_2014_monocyte_LPS24	Fairfax_2014	monocyte_LPS24	microarray	LPS_24h	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
GENCORD_LCL	GENCORD	LCL	RNA-seq	naive	EFO_0005292	lymphoblastoid cell line	LCL
GENCORD_fibroblast	GENCORD	fibroblast	RNA-seq	naive	CL_0000057	fibroblast	fibroblast
GENCORD_T-cell	GENCORD	T-cell	RNA-seq	naive	CL_0000084	T cell	T cell
GEUVADIS_LCL	GEUVADIS	LCL	RNA-seq	naive	EFO_0005292	lymphoblastoid cell line	LCL
HipSci_iPSC	HipSci	iPSC	RNA-seq	naive	EFO_0004905	induced pluripotent stem cell	iPSC
Kasela_2017_T-cell_CD4	Kasela_2017	T-cell_CD4	microarray	naive	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell
Kasela_2017_T-cell_CD8	Kasela_2017	T-cell_CD8	microarray	naive	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell
Lepik_2017_blood	Lepik_2017	blood	RNA-seq	naive	UBERON_0000178	blood	blood
Naranbhai_2015_neutrophil_CD16	Naranbhai_2015	neutrophil_CD16	microarray	naive	CL_0000775	neutrophil	neutrophil
Nedelec_2016_macrophage_Listeria	Nedelec_2016	macrophage_Listeria	RNA-seq	Listeria_5h	CL_0000235	macrophage	macrophage
Nedelec_2016_macrophage_naive	Nedelec_2016	macrophage_naive	RNA-seq	naive	CL_0000235	macrophage	macrophage
Nedelec_2016_macrophage_Salmonella	Nedelec_2016	macrophage_Salmonella	RNA-seq	Salmonella_5h	CL_0000235	macrophage	macrophage
Quach_2016_monocyte_naive	Quach_2016	monocyte_naive	RNA-seq	naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Quach_2016_monocyte_LPS	Quach_2016	monocyte_LPS	RNA-seq	LPS_6h	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Quach_2016_monocyte_Pam3CSK4	Quach_2016	monocyte_Pam3CSK4	RNA-seq	Pam3CSK4_6h	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Quach_2016_monocyte_R848	Quach_2016	monocyte_R848	RNA-seq	R848_6h	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Quach_2016_monocyte_IAV	Quach_2016	monocyte_IAV	RNA-seq	Influenza_6h	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
ROSMAP_brain_naive	ROSMAP	brain_naive	RNA-seq	naive	UBERON_0009834	dorsolateral prefrontal cortex	DLPFC
Schmiedel_2018_Tfh_memory	Schmiedel_2018	Tfh_memory	RNA-seq	naive	CL_0002038	T follicular helper cell	Tfh cell
Schmiedel_2018_Th17_memory	Schmiedel_2018	Th17_memory	RNA-seq	naive	CL_0000899	T-helper 17 cell	Th17 cell
Schmiedel_2018_Th1_memory	Schmiedel_2018	Th1_memory	RNA-seq	naive	CL_0000545	T-helper 1 cell	Th1 cell
Schmiedel_2018_Th2_memory	Schmiedel_2018	Th2_memory	RNA-seq	naive	CL_0000546	T-helper 2 cell	Th2 cell
Schmiedel_2018_Th1-17_memory	Schmiedel_2018	Th1-17_memory	RNA-seq	naive	CL_0000899	T-helper 17 cell	Th17 cell
Schmiedel_2018_Treg_memory	Schmiedel_2018	Treg_memory	RNA-seq	naive	CL_0002678	memory regulatory T cell	Treg naive
Schmiedel_2018_Treg_naive	Schmiedel_2018	Treg_naive	RNA-seq	naive	CL_0002677	naive regulatory T cell	Treg memory
Schmiedel_2018_B-cell_naive	Schmiedel_2018	B-cell_naive	RNA-seq	naive	CL_0000236	B cell	B cell
Schmiedel_2018_CD4_T-cell_naive	Schmiedel_2018	CD4_T-cell_naive	RNA-seq	naive	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell
Schmiedel_2018_CD4_T-cell_anti-CD3-CD28	Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	RNA-seq	anti-CD3-CD28_4h	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell
Schmiedel_2018_CD8_T-cell_naive	Schmiedel_2018	CD8_T-cell_naive	RNA-seq	naive	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell
Schmiedel_2018_CD8_T-cell_anti-CD3-CD28	Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	RNA-seq	anti-CD3-CD28_4h	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell
Schmiedel_2018_monocyte_CD16_naive	Schmiedel_2018	monocyte_CD16_naive	RNA-seq	naive	CL_0002396	CD14-low, CD16-positive monocyte	CD16+ monocyte
Schmiedel_2018_monocyte_naive	Schmiedel_2018	monocyte_naive	RNA-seq	naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte
Schmiedel_2018_NK-cell_naive	Schmiedel_2018	NK-cell_naive	RNA-seq	naive	CL_0000623	natural killer cell	NK cell
Schwartzentruber_2018_sensory_neuron	Schwartzentruber_2018	sensory_neuron	RNA-seq	naive	CL_0000101	sensory neuron	sensory neuron
TwinsUK_fat	TwinsUK	fat	RNA-seq	naive	UBERON_0001013	adipose tissue	adipose
TwinsUK_LCL	TwinsUK	LCL	RNA-seq	naive	EFO_0005292	lymphoblastoid cell line	LCL
TwinsUK_skin	TwinsUK	skin	RNA-seq	naive	UBERON_0002097	skin of body	skin
TwinsUK_blood	TwinsUK	blood	RNA-seq	naive	UBERON_0000178	blood	blood
