consequence	annot	enrichment	lower	upper
All	Ancient_Sequence_Age_Human_Promoter	11.6734397448774	10.1638871914461	13.208201457385
All	Ancient_Sequence_Age_Human_Enhancer	9.22381190493683	7.951508835276	10.5813963486534
All	Conserved_Mammal_phastCons46way	9.02867567222857	8.54519347431974	9.53040967512562
All	Conserved_LindbladToh	8.52843442927201	8.07820174599658	9.00002635827811
All	Conserved_Primate_phastCons46way	8.32687115284543	7.83710440407514	8.83562194446811
All	Conserved_Vertebrate_phastCons46way	7.49073704711809	7.08432818258317	7.91293648364411
All	Human_Promoter_Villar_ExAC	7.44586679048879	5.8686246579812	9.10112322052792
All	Human_Promoter_Villar	6.4798542446875	5.85978079505267	7.12218657792732
All	TSS_Hoffman	6.27627152965159	5.71330432139982	6.85624687512307
All	BivFlnk	6.09208024998739	5.43115901578494	6.76223739851532
All	Enhancer_Andersson	5.16576749885174	4.01308368900307	6.35626257025594
All	Vahedi_Tcell_SE	4.38293680434796	3.92445692561544	4.86271757904369
All	Human_Enhancer_Villar	3.70791089867838	3.37238519743715	4.04731971446317
All	Enhancer_Hoffman	3.60987235656956	3.31519834558507	3.91038434682818
All	H3K4me3_peaks_Trynka	3.5998343461233	3.31587694837043	3.8868787176143
All	H3K9ac_peaks_Trynka	3.4128952495528	3.1301878203587	3.71563990446056
All	FetalDHS_Trynka	3.22357694564379	3.04293656761821	3.40591429076996
All	H3K4me3_Trynka	3.06183099637368	2.93748971361104	3.1816363916901
All	WeakEnhancer_Hoffman	3.0486448538585	2.64724884716013	3.44933399507912
All	H3K9ac_Trynka	2.97616600605635	2.85261970705429	3.10646533115297
All	DHS_peaks_Trynka	2.8275927523772	2.68395256005779	2.97495708909268
All	TFBS_ENCODE	2.81447546520873	2.68860414005852	2.94012096005849
All	DGF_ENCODE	2.64899425232544	2.53215243012722	2.77170999977086
All	SuperEnhancer_Hnisz	2.410579897635	2.31022087655513	2.50736428456517
All	DHS_Trynka	2.40385476772662	2.299186310335	2.50625043044423
All	H3K27ac_PGC2	2.11030465899298	2.04863688920028	2.17240237573046
All	H3K4me1_peaks_Trynka	2.07444222043436	1.97959143840128	2.16972617847869
All	PromoterFlanking_Hoffman	1.95455410055782	1.44922123013319	2.49494086928406
All	Vahedi_Tcell_TE	1.80251027547307	1.4947893538776	2.12151965984797
All	H3K27ac_Hnisz	1.73386711579757	1.69549929320572	1.77223329371386
All	H3K4me1_Trynka	1.70707228233531	1.6741295004957	1.73966013367079
All	CTCF_Hoffman	1.69302083923323	1.41543796817648	1.99479894460735
All	Transcribed_Hoffman	1.21466529635843	1.16757318589383	1.2638548323654
All	Intron_UCSC	0.991066709175456	0.947748851043636	1.03421613431262
All	Repressed_Hoffman	0.407676430334457	0.376862547072917	0.440198171237635
Non-genic	Ancient_Sequence_Age_Human_Promoter	13.4736149813503	3.28801191852342	27.3744735323098
Non-genic	Human_Promoter_Villar	7.87884279912032	4.55435306618927	11.5884122842153
Non-genic	Ancient_Sequence_Age_Human_Enhancer	5.96847070193091	2.39431882743148	9.69361781853805
Non-genic	Conserved_Primate_phastCons46way	5.29581073484807	4.25567969542966	6.33501965835208
Non-genic	Conserved_LindbladToh	4.64562668674115	3.7098975565685	5.58186051101083
Non-genic	Conserved_Mammal_phastCons46way	4.39531742761315	3.51289906294291	5.33215660902512
Non-genic	BivFlnk	4.16407836605445	2.07716836773529	6.60652672072866
Non-genic	TSS_Hoffman	4.07355590357796	1.17366830085418	7.06866919220187
Non-genic	Vahedi_Tcell_SE	3.61598538173632	2.6019198796055	4.63991585420657
Non-genic	WeakEnhancer_Hoffman	3.25771020744999	2.16980452280579	4.44712225037612
Non-genic	Conserved_Vertebrate_phastCons46way	3.20582054956407	2.59225638286447	3.85833889699137
Non-genic	Human_Promoter_Villar_ExAC	3.03922143157537	0	9.2782709511296
Non-genic	Human_Enhancer_Villar	2.8671586703453	2.09037008482094	3.6506570357914
Non-genic	H3K9ac_peaks_Trynka	2.58303818499643	1.79207160720497	3.3898623888067
Non-genic	H3K9ac_Trynka	2.50910166341316	2.14757529887299	2.87255762807466
Non-genic	Enhancer_Hoffman	2.4012098645891	1.60197202876552	3.26655444437048
Non-genic	FetalDHS_Trynka	2.28470064702905	1.8489598962623	2.72056133149301
Non-genic	H3K4me3_Trynka	2.16626476328968	1.85273963501377	2.49492652490933
Non-genic	SuperEnhancer_Hnisz	2.14333644117555	1.9250547568033	2.36244693146674
Non-genic	DHS_peaks_Trynka	2.09626383718747	1.77383883274691	2.43504051056761
Non-genic	Vahedi_Tcell_TE	2.08631483529168	1.37070480467432	2.81342343374295
Non-genic	H3K4me3_peaks_Trynka	1.95794408671377	1.30743422093123	2.61378298717293
Non-genic	TFBS_ENCODE	1.88731130805004	1.59688136470074	2.17451586618072
Non-genic	DHS_Trynka	1.87869004168828	1.63982671052561	2.11731945212659
Non-genic	H3K27ac_PGC2	1.81740851141324	1.64077365832856	1.98811096136265
Non-genic	PromoterFlanking_Hoffman	1.79637261756567	0.515055440963714	3.32331825665732
Non-genic	DGF_ENCODE	1.76294186653061	1.50672983670247	2.02208385218205
Non-genic	H3K4me1_Trynka	1.68317508296205	1.59620230388586	1.76968415087711
Non-genic	H3K4me1_peaks_Trynka	1.68096321106208	1.47384885089592	1.90238768334002
Non-genic	H3K27ac_Hnisz	1.60749085111703	1.51254320254821	1.7056467255099
Non-genic	CTCF_Hoffman	1.34869294566507	0.843030415161585	1.90937922473998
Non-genic	Transcribed_Hoffman	1.22265284259228	1.13576134328882	1.30918775553333
Non-genic	Intron_UCSC	1.21661992470009	1.13506883424335	1.29830188673537
Non-genic	Enhancer_Andersson	0.766699671190945	0	2.31546009535593
Non-genic	Repressed_Hoffman	0.687460084130372	0.630084812095969	0.746688153157135
